国家/地区,中国,印度,美国,印尼,巴基斯坦,巴西,尼日利亚,孟加拉,俄罗斯,墨西哥,日本,埃塞俄比亚,菲律宾,埃及,越南,刚果（金）,土耳其,伊朗,德国,泰国,法国,英国,坦桑尼亚,南非,意大利,肯尼亚,缅甸,韩国,哥伦比亚,西班牙,乌干达,阿根廷,苏丹,阿尔及利亚,乌克兰,伊拉克,阿富汗,加拿大,波兰,摩洛哥,沙特阿拉伯,乌兹别克斯坦,安哥拉,秘鲁,马来西亚,莫桑比克,加纳,也门,尼泊尔,委内瑞拉,马达加斯加,喀麦隆,科特迪瓦,朝鲜,澳大利亚,尼日尔,斯里兰卡,布基纳法索,马里,马拉维,智利,罗马尼亚,哈萨克斯坦,赞比亚,叙利亚,厄瓜多尔,荷兰,塞内加尔,危地马拉,柬埔寨,乍得,索马里,津巴布韦,几内亚,卢旺达,贝宁,布隆迪,突尼斯,玻利维亚,比利时,海地,南苏丹,古巴,多米尼加,捷克,希腊,瑞典,葡萄牙,约旦,阿塞拜疆,洪都拉斯,阿联酋,塔吉克斯坦,匈牙利,以色列,白俄罗斯,巴布亚新几内亚,奥地利,瑞士,多哥,塞拉利昂,香港,老挝,巴拉圭,利比亚,保加利亚,塞尔维亚,黎巴嫩,尼加拉瓜,吉尔吉斯斯坦,萨尔瓦多,土库曼斯坦,丹麦,刚果（布）,芬兰,新加坡,斯洛伐克,挪威,阿曼,利比里亚,哥斯达黎加,新西兰,爱尔兰,巴勒斯坦,中非,毛里塔尼亚,巴拿马,科威特,克罗地亚,格鲁吉亚,乌拉圭,蒙古,波多黎各,波黑,牙买加,亚美尼亚,卡塔尔,阿尔巴尼亚,立陶宛,纳米比亚,摩尔多瓦,冈比亚,博茨瓦纳,加蓬,莱索托,斯洛文尼亚,马其顿,几内亚比绍,拉脱维亚,巴林,赤道几内亚,特立尼达和多巴哥,东帝汶,爱沙尼亚,毛里求斯,塞浦路斯,斯威士兰,吉布提,斐济群岛,科摩罗,圭亚那,不丹,所罗门群岛,澳门,卢森堡,黑山,苏里南,佛得角,马尔代夫,马耳他,文莱,伯利兹,巴哈马,冰岛,瓦努阿图,巴巴多斯,法属波利尼西亚,新喀里多尼亚,圣多美和普林西比,萨摩亚,圣卢西亚,关岛,库拉索,基里巴斯,密克罗尼西亚联邦,格林纳达,圣文森特和格林纳丁斯,阿鲁巴,汤加,塞舌尔,安提瓜和巴布达,马恩岛,安道尔,多米尼克,开曼群岛,百慕大,马绍尔群岛,北马里亚纳群岛,格陵兰,美属萨摩亚,圣基茨和尼维斯,法罗群岛,荷属圣马丁,摩纳哥,法属圣马丁,特克斯和凯科斯群岛,列支敦士登,圣马力诺,直布罗陀,英属维尔京群岛,帕劳,图瓦卢,瑙鲁
2010,"1,337,705,000","1,234,281,163","309,327,143","241,834,226","179,424,643","195,713,637","158,503,203","147,575,433","142,849,468","114,092,961","128,070,000","87,639,962","93,966,784","82,761,244","87,967,655","64,563,853","72,326,992","73,762,519","81,776,930","67,195,032","65,027,505","62,766,365","44,346,532","51,216,967","59,277,417","42,030,684","50,600,827","49,554,112","45,222,699","46,576,897","32,428,164","40,788,453","34,545,014","35,977,451","45,870,741","29,741,977","29,185,511","34,004,889","38,042,794","32,343,384","27,421,468","28,562,400","23,356,247","29,027,680","28,208,028","23,531,567","24,779,614","23,154,854","27,013,207","28,439,942","21,151,640","20,341,236","20,532,944","24,548,840","22,031,750","16,464,025","20,261,738","15,605,211","15,049,352","14,539,609","17,062,531","20,246,871","16,321,872","13,605,986","21,362,541","15,011,114","16,615,394","12,678,143","14,259,687","14,312,205","11,952,134","12,043,886","12,697,728","10,192,168","10,039,338","9,199,254","8,675,606","10,635,245","10,048,597","10,895,586","9,949,318","9,508,372","11,225,833","9,695,117","10,474,410","11,121,341","9,378,126","10,573,100","7,261,541","9,054,332","8,317,467","8,549,998","7,527,397","10,000,023","7,623,600","9,483,836","7,310,512","8,363,404","7,824,909","6,421,674","6,415,636","7,024,200","6,249,168","6,248,017","6,197,667","7,395,599","7,291,436","4,953,064","5,824,058","5,447,900","6,183,877","5,087,211","5,547,683","4,273,738","5,363,352","5,076,732","5,391,428","4,889,252","3,041,435","3,891,357","4,577,371","4,350,700","4,560,155","3,786,161","4,386,765","3,494,200","3,642,691","2,991,884","4,295,427","3,786,695","3,359,273","2,719,902","3,721,525","3,705,478","2,810,464","2,877,314","1,856,329","2,913,021","3,097,282","2,118,877","2,861,487","1,793,199","1,987,106","1,624,146","1,995,575","2,048,583","2,055,004","1,522,603","2,097,555","1,240,864","943,640","1,328,144","1,093,517","1,331,475","1,250,400","1,112,617","1,064,841","840,194","859,816","689,696","749,430","685,502","527,861","538,215","506,953","619,428","529,126","492,644","365,730","414,508","388,634","322,465","354,936","318,041","236,216","282,131","266,449","249,750","180,372","185,944","174,092","159,439","148,703","102,930","102,916","106,227","108,260","101,665","103,981","89,770","88,030","84,856","84,454","70,877","56,672","65,124","56,361","53,971","56,905","56,084","49,011","47,803","34,056","35,609","37,582","32,658","35,996","31,221","33,585","27,796","17,954","10,521",#REF!
2011,"1,345,035,000","1,250,287,939","311,583,481","245,115,988","183,340,168","197,514,541","162,805,080","149,273,134","142,960,908","115,695,468","127,833,000","90,139,928","95,570,049","84,529,251","88,871,384","66,755,151","73,443,254","74,634,959","80,274,983","67,518,379","65,342,789","63,258,810","45,673,520","52,003,759","59,379,449","43,178,270","50,990,612","49,936,638","45,662,747","46,742,697","33,476,772","41,261,490","35,349,676","36,661,438","45,706,086","30,725,305","30,117,411","34,339,328","38,063,255","32,781,860","28,267,591","29,339,400","24,220,660","29,264,314","28,650,962","24,187,500","25,387,713","23,807,586","27,041,220","28,887,873","21,743,970","20,906,392","21,028,652","24,673,392","22,340,024","17,114,770","20,398,496","16,081,915","15,514,593","14,962,118","17,233,584","20,147,528","16,557,202","14,023,199","21,081,814","15,243,885","16,693,074","13,033,814","14,521,515","14,541,421","12,360,986","12,376,305","12,894,323","10,420,459","10,293,333","9,460,829","8,958,406","10,741,872","10,212,951","11,038,264","10,100,320","9,830,695","11,236,671","9,813,219","10,496,088","11,104,899","9,449,213","10,557,560","7,662,858","9,173,082","8,480,670","8,946,778","7,697,507","9,971,727","7,765,800","9,461,643","7,472,196","8,391,643","7,912,398","6,595,939","6,563,238","7,071,600","6,347,564","6,333,981","6,247,438","7,348,328","7,234,099","5,202,022","5,903,035","5,514,600","6,210,567","5,174,076","5,570,572","4,394,842","5,388,272","5,183,688","5,398,384","4,953,088","3,251,102","4,017,446","4,633,086","4,384,000","4,580,084","3,882,986","4,418,639","3,598,646","3,706,479","3,168,054","4,280,622","3,756,441","3,368,926","2,770,357","3,678,732","3,661,173","2,825,932","2,876,536","2,035,862","2,905,195","3,028,115","2,156,698","2,859,833","1,848,142","2,015,406","1,684,629","2,003,793","2,052,843","2,058,539","1,562,996","2,059,709","1,278,153","986,861","1,336,180","1,113,154","1,327,439","1,252,404","1,124,837","1,072,029","853,671","863,451","706,578","752,029","693,297","541,522","550,833","518,347","620,079","535,177","498,858","380,493","416,268","393,687","330,236","359,583","319,014","242,658","282,987","267,702","254,350","184,521","187,469","175,538","159,690","150,831","104,735","103,448","106,786","108,315","102,050","103,558","87,441","89,250","84,889","83,748","70,912","57,877","64,564","56,524","54,013","56,890","55,755","49,442","47,815","33,435","36,025","37,451","33,371","36,299","31,655","33,608","28,326","17,748","10,626",#REF!
2012,"1,354,190,000","1,265,780,243","313,877,662","248,451,714","187,280,125","199,287,292","167,228,803","151,005,733","143,201,721","117,274,156","127,629,000","92,726,982","97,212,639","86,422,240","89,801,926","69,020,749","74,651,046","75,539,881","80,425,823","67,835,969","65,659,814","63,700,215","47,053,033","52,832,659","59,539,717","44,343,469","51,413,703","50,199,853","46,075,721","46,773,055","34,558,700","41,733,271","36,193,781","37,383,899","45,593,342","31,890,012","31,161,378","34,714,222","38,063,164","33,241,898","29,154,906","29,774,500","25,107,925","29,506,790","29,068,189","24,862,673","25,996,454","24,473,176","26,989,160","29,360,827","22,346,641","21,485,267","21,547,188","24,800,638","22,733,465","17,795,209","20,425,000","16,571,252","15,979,492","15,396,010","17,400,359","20,058,035","16,792,090","14,465,148","20,438,861","15,474,099","16,754,962","13,401,990","14,781,942","14,780,454","12,784,748","12,715,487","13,115,149","10,652,032","10,549,668","9,729,254","9,245,992","10,846,993","10,377,677","11,106,932","10,250,922","10,113,648","11,257,112","9,930,916","10,510,785","11,045,011","9,519,374","10,514,844","8,089,963","9,295,784","8,640,692","9,141,598","7,874,838","9,920,362","7,910,500","9,446,836","7,631,003","8,429,991","7,996,861","6,773,807","6,712,586","7,150,100","6,444,527","6,421,510","6,285,751","7,305,888","7,199,077","5,537,620","5,982,530","5,607,200","6,237,922","5,267,906","5,591,572","4,510,197","5,413,971","5,312,437","5,407,579","5,018,573","3,498,031","4,135,662","4,688,003","4,408,100","4,599,533","3,979,998","4,436,411","3,706,555","3,770,635","3,348,852","4,267,558","3,728,874","3,378,975","2,824,698","3,634,488","3,604,972","2,842,128","2,884,239","2,196,078","2,900,401","2,987,773","2,194,777","2,859,458","1,905,020","2,039,551","1,749,677","2,014,988","2,057,159","2,061,044","1,604,981","2,034,319","1,299,942","1,031,191","1,344,814","1,133,002","1,322,696","1,255,882","1,135,046","1,079,285","868,136","865,065","723,865","755,388","701,582","556,066","564,037","530,946","620,601","541,247","505,241","397,231","420,028","398,997","338,001","363,581","320,716","249,505","283,698","268,995","259,000","188,394","189,089","176,654","159,990","152,088","106,359","104,506","107,452","108,435","102,565","102,736","88,303","90,407","84,534","82,427","70,954","58,963","64,798","56,712","54,306","56,810","55,669","49,881","47,843","34,640","36,459","37,012","34,067","36,615","32,103","33,653","28,654","17,635","10,744",#REF!
2013,"1,363,240,000","1,280,842,119","316,059,947","251,805,314","191,260,799","201,035,904","171,765,819","152,761,413","143,506,995","118,827,158","127,445,000","95,385,793","98,871,558","88,404,652","90,752,593","71,358,804","75,925,454","76,481,963","80,645,605","68,144,519","65,998,685","64,128,273","48,483,132","53,687,125","60,233,948","45,519,986","51,852,464","50,428,893","46,495,492","46,620,045","35,694,519","42,202,935","37,072,555","38,140,135","45,489,648","33,157,061","32,269,592","35,082,954","38,040,196","33,715,705","30,052,058","30,243,200","26,015,786","29,773,986","29,468,923","25,560,752","26,607,641","25,147,112","26,916,795","29,781,046","22,961,259","22,077,300","22,087,506","24,929,500","23,128,129","18,504,287","20,585,000","17,072,791","16,449,854","15,839,287","17,571,511","19,983,693","17,035,551","14,926,551","19,578,466","15,707,473","16,804,432","13,782,429","15,043,981","15,026,330","13,220,433","13,063,711","13,350,378","10,892,821","10,811,538","10,004,594","9,540,302","10,952,949","10,542,375","11,159,407","10,400,672","10,355,030","11,282,722","10,048,226","10,514,272","10,965,211","9,600,379","10,457,295","8,518,992","9,416,801","8,798,524","9,197,908","8,059,782","9,893,082","8,059,500","9,443,211","7,788,388","8,479,823","8,089,346","6,954,721","6,863,975","7,178,900","6,541,302","6,510,273","6,320,350","7,265,115","7,164,132","5,913,016","6,062,462","5,719,600","6,266,076","5,366,376","5,614,932","4,622,757","5,438,972","5,399,162","5,413,393","5,079,623","3,764,805","4,248,337","4,742,111","4,442,100","4,623,816","4,076,708","4,447,945","3,817,497","3,835,447","3,526,382","4,255,689","3,717,668","3,389,436","2,881,783","3,593,077","3,542,598","2,858,710","2,897,593","2,336,579","2,895,092","2,957,689","2,233,506","2,858,692","1,963,708","2,062,551","1,817,070","2,028,528","2,059,953","2,064,032","1,648,259","2,012,647","1,315,029","1,076,412","1,353,708","1,153,288","1,317,997","1,258,653","1,143,866","1,086,843","883,296","865,602","741,511","759,281","710,235","571,329","577,368","543,360","621,207","547,295","511,740","415,592","425,967","404,414","345,707","367,162","323,764","256,637","284,294","270,332","263,650","192,076","190,712","177,505","160,415","153,822","107,887","105,922","108,172","108,624","103,165","101,768","89,949","91,510","83,985","80,770","71,019","59,933","65,001","56,933","54,786","56,483","55,717","50,328","47,901","36,607","36,899","36,458","34,733","36,940","32,554","33,694","28,850","17,603","10,849",#REF!
2014,"1,371,860,000","1,295,600,768","318,386,329","255,128,076","195,305,012","202,763,744","176,404,931","154,517,385","143,819,667","120,355,137","127,276,000","98,094,264","100,513,137","90,424,668","91,713,850","73,767,445","77,229,262","77,465,769","80,982,500","68,438,748","66,312,067","64,602,298","49,960,563","54,544,184","60,789,140","46,700,063","52,280,816","50,746,659","46,967,706","46,480,882","36,911,530","42,669,500","37,977,657","38,923,688","45,272,155","34,411,949","33,370,804","35,437,435","38,011,735","34,192,358","30,916,603","30,757,700","26,941,773","30,090,372","29,866,606","26,286,192","27,224,480","25,823,488","26,905,982","30,042,973","23,589,897","22,681,853","22,647,672","25,057,793","23,475,686","19,240,182","20,778,000","17,586,029","16,934,213","16,289,550","17,758,969","19,908,979","17,288,285","15,399,793","18,710,711","15,951,832","16,865,008","14,174,740","15,306,316","15,274,506","13,663,562","13,423,571","13,586,710","11,150,970","11,083,629","10,286,839","9,844,301","11,063,195","10,706,517","11,209,057","10,549,007","10,554,882","11,306,909","10,165,182","10,525,347","10,892,413","9,696,110","10,401,062","8,918,822","9,535,079","8,955,579","9,214,182","8,252,828","9,866,468","8,215,700","9,448,515","7,946,733","8,546,356","8,188,649","7,137,997","7,017,153","7,229,500","6,639,763","6,599,524","6,362,039","7,223,938","7,130,576","6,261,046","6,142,734","5,835,500","6,295,124","5,466,324","5,643,475","4,736,965","5,461,512","5,469,724","5,418,649","5,137,232","4,027,255","4,359,508","4,795,390","4,516,500","4,657,740","4,173,398","4,464,171","3,930,894","3,901,311","3,690,939","4,238,389","3,719,414","3,400,439","2,940,111","3,534,874","3,482,106","2,875,137","2,912,403","2,459,202","2,889,104","2,932,367","2,273,426","2,856,950","2,024,037","2,088,619","1,883,801","2,043,448","2,061,980","2,067,471","1,692,433","1,993,782","1,336,073","1,122,273","1,362,337","1,174,333","1,314,545","1,260,934","1,152,297","1,095,022","898,707","866,447","759,390","763,371","719,053","587,079","590,210","556,319","621,810","553,278","518,276","435,018","434,558","409,778","353,366","370,625","327,386","263,888","284,825","271,713","268,050","195,727","192,220","178,307","161,007","155,909","109,387","107,444","108,900","108,868","103,776","101,023","91,359","92,562","83,488","79,213","71,091","60,848","65,138","57,183","55,301","56,295","55,791","50,776","47,965","37,685","37,320","36,018","35,371","37,219","32,941","33,726","28,985","17,625","10,973",#REF!
2015,"1,379,860,000","1,310,152,392","320,738,994","258,383,257","199,426,953","204,471,759","181,137,454","156,256,287","144,096,870","121,858,251","127,141,000","100,835,453","102,113,206","92,442,549","92,677,082","76,244,532","78,529,413","78,492,208","81,686,611","68,714,519","66,548,272","65,116,219","51,482,638","55,386,369","60,730,582","47,878,339","52,680,724","51,014,947","47,520,667","46,444,832","38,225,447","43,131,966","38,902,948","39,728,020","45,154,036","35,572,269","34,413,603","35,702,908","37,986,412","34,663,608","31,717,676","31,298,900","27,884,380","30,470,739","30,270,965","27,042,001","27,849,203","26,497,881","27,015,033","30,081,827","24,234,080","23,298,376","23,226,148","25,183,832","23,815,995","20,001,663","20,970,000","18,110,616","17,438,772","16,745,305","17,969,356","19,815,616","17,542,806","15,879,370","17,997,411","16,212,022","16,939,923","14,578,450","15,567,419","15,521,435","14,110,971","13,797,204","13,814,642","11,432,096","11,369,066","10,575,962","10,160,034","11,179,951","10,869,732","11,274,196","10,695,540","10,715,657","11,324,777","10,281,675","10,546,059","10,820,883","9,799,186","10,358,076","9,266,573","9,649,341","9,112,904","9,262,896","8,454,019","9,843,028","8,380,100","9,461,076","8,107,772","8,642,699","8,282,396","7,323,162","7,171,909","7,291,300","6,741,160","6,688,746","6,418,315","7,177,991","7,095,383","6,532,681","6,223,234","5,956,900","6,325,121","5,565,283","5,683,483","4,856,093","5,479,531","5,535,002","5,423,801","5,188,607","4,267,341","4,472,229","4,847,805","4,609,400","4,701,957","4,270,092","4,493,171","4,046,304","3,968,490","3,835,588","4,203,604","3,725,276","3,412,013","2,998,433","3,473,232","3,429,362","2,891,024","2,925,559","2,565,708","2,880,703","2,904,910","2,314,901","2,834,530","2,085,860","2,120,716","1,947,690","2,059,011","2,063,531","2,070,226","1,737,207","1,977,527","1,371,853","1,168,575","1,370,332","1,196,294","1,315,407","1,262,605","1,160,987","1,104,038","913,998","868,632","777,435","767,433","727,885","603,133","602,093","569,604","622,159","559,136","524,740","454,914","445,053","414,914","360,926","374,200","330,815","271,128","285,327","273,119","268,700","199,439","193,510","179,131","161,851","157,980","110,927","108,886","109,603","109,135","104,339","100,780","93,419","93,571","83,232","77,993","71,175","61,721","65,237","57,444","55,779","56,114","55,806","51,204","48,055","38,825","37,723","35,865","35,979","37,465","33,270","33,742","29,148","17,665","11,099",#REF!
2016,"1,387,790,000","1,324,517,250","323,071,755","261,556,386","203,631,356","206,163,056","185,960,244","157,977,151","144,342,397","123,333,379","127,076,000","103,603,461","103,663,812","94,447,071","93,640,435","78,789,130","79,827,868","79,563,991","82,348,669","68,971,313","66,724,104","65,611,593","53,049,231","56,207,649","60,627,498","49,051,531","53,045,199","51,217,803","48,175,048","46,484,062","39,649,173","43,590,368","39,847,433","40,551,398","45,004,673","36,610,632","35,383,028","36,109,487","37,970,087","35,126,274","32,443,443","31,847,900","28,842,482","30,926,036","30,684,652","27,829,930","28,481,947","27,168,210","27,263,430","29,851,249","24,894,370","23,926,549","23,822,726","25,307,665","24,190,907","20,788,789","21,203,000","18,646,350","17,965,448","17,205,253","18,209,072","19,702,267","17,794,055","16,363,449","17,465,567","16,491,116","17,030,314","14,993,514","15,827,690","15,766,290","14,561,658","14,185,635","14,030,338","11,738,434","11,668,829","10,872,072","10,488,002","11,303,942","11,031,822","11,331,422","10,839,976","10,832,520","11,335,108","10,397,738","10,566,332","10,775,971","9,923,085","10,325,452","9,554,286","9,757,812","9,270,794","9,360,975","8,663,575","9,814,023","8,546,000","9,469,379","8,271,766","8,736,668","8,373,338","7,509,952","7,328,846","7,336,600","6,845,848","6,777,878","6,492,160","7,127,822","7,058,322","6,714,281","6,303,970","6,079,500","6,356,137","5,662,371","5,728,010","4,980,996","5,495,303","5,607,283","5,430,798","5,234,519","4,479,217","4,586,788","4,899,336","4,714,100","4,755,335","4,367,088","4,537,683","4,163,532","4,037,073","3,956,862","4,174,349","3,727,505","3,424,139","3,056,358","3,406,672","3,386,263","2,906,242","2,936,147","2,654,379","2,876,101","2,868,231","2,358,044","2,802,170","2,149,134","2,159,925","2,007,882","2,075,041","2,065,042","2,072,490","1,782,434","1,959,537","1,425,793","1,215,181","1,377,563","1,219,289","1,315,790","1,263,473","1,170,189","1,113,994","929,117","872,406","795,597","771,363","736,706","619,438","612,824","582,014","622,303","564,883","531,140","475,505","455,356","419,791","368,399","377,923","335,439","278,326","285,798","274,576","269,350","203,221","194,540","180,028","162,948","159,664","112,529","110,215","110,263","109,467","104,865","101,143","94,677","94,520","83,296","77,295","71,307","62,564","64,554","57,723","56,187","56,186","55,739","51,629","48,173","39,969","38,070","36,061","36,558","37,655","33,503","33,738","29,355","17,718","11,232",#REF!
2017,"1,396,215,000","1,338,676,779","325,122,128","264,650,969","207,906,210","207,833,825","190,873,247","159,685,421","144,496,739","124,777,326","126,972,000","106,399,926","105,172,921","96,442,590","94,600,643","81,398,765","81,116,451","80,673,888","82,657,002","69,209,817","66,918,020","66,058,859","54,660,345","57,009,751","60,536,709","50,221,146","53,382,521","51,361,911","48,909,844","46,593,236","41,166,588","44,044,811","40,813,398","41,389,174","44,831,135","37,552,789","36,296,111","36,545,236","37,974,826","35,581,257","33,101,183","32,388,600","29,816,769","31,444,299","31,104,655","28,649,007","29,121,464","27,834,811","27,632,682","29,402,480","25,570,511","24,566,070","24,437,475","25,429,816","24,601,860","21,602,388","21,444,000","19,193,236","18,512,429","17,670,193","18,470,435","19,588,715","18,037,776","16,853,608","17,095,669","16,785,356","17,131,296","15,419,354","16,087,418","16,009,413","15,016,761","14,589,165","14,236,599","12,067,516","11,980,960","11,175,192","10,827,010","11,433,438","11,192,853","11,375,158","10,982,367","10,910,774","11,339,255","10,513,111","10,594,438","10,754,679","10,057,698","10,300,300","9,785,840","9,854,033","9,429,016","9,487,206","8,880,270","9,787,966","8,713,300","9,458,989","8,438,038","8,797,566","8,451,840","7,698,476","7,488,427","7,393,200","6,953,031","6,867,058","6,580,723","7,075,947","7,020,858","6,819,373","6,384,843","6,198,200","6,388,124","5,757,667","5,764,980","5,110,701","5,508,214","5,612,253","5,439,232","5,276,968","4,665,926","4,702,224","4,949,955","4,813,600","4,807,388","4,454,805","4,596,023","4,282,582","4,106,764","4,056,102","4,124,531","3,728,004","3,436,645","3,113,788","3,325,286","3,351,534","2,920,848","2,944,789","2,724,727","2,873,457","2,828,403","2,402,623","2,755,158","2,213,900","2,205,076","2,064,812","2,091,532","2,066,388","2,074,502","1,828,146","1,942,248","1,494,077","1,262,008","1,384,060","1,243,260","1,317,384","1,264,613","1,179,685","1,124,808","944,100","877,460","813,890","775,218","745,563","636,030","622,578","596,336","622,373","570,501","537,499","496,398","467,999","424,481","375,775","381,749","343,400","285,499","286,229","276,108","270,000","207,086","195,358","180,955","164,281","160,175","114,153","111,461","110,874","109,826","105,361","102,002","95,843","95,425","83,610","76,997","71,460","63,382","63,873","58,053","56,553","56,171","55,617","52,036","48,326","40,574","38,392","36,569","37,116","37,805","33,671","33,723","29,567","17,809","11,365",#REF!
2018,"1,402,760,000","1,352,642,283","326,838,199","267,670,549","212,228,288","209,469,320","195,874,685","161,376,713","144,477,859","126,190,782","126,811,000","109,224,410","106,651,394","98,423,602","95,545,959","84,068,092","82,340,090","81,800,204","82,905,782","69,428,454","67,101,930","66,460,344","56,313,444","57,792,520","60,421,760","51,392,570","53,708,318","51,585,058","49,661,056","46,797,754","42,729,032","44,494,502","41,801,532","42,228,415","44,622,518","38,433,604","37,171,922","37,065,084","37,974,750","36,029,089","33,702,757","32,956,100","30,809,787","31,989,265","31,528,033","29,496,009","29,767,108","28,498,683","28,095,712","28,887,117","26,262,313","25,216,261","25,069,226","25,549,606","24,982,688","22,442,831","21,670,000","19,751,466","19,077,755","18,143,215","18,729,166","19,473,970","18,276,452","17,351,714","16,945,062","17,084,359","17,231,624","15,854,324","16,346,950","16,249,795","15,477,727","15,008,225","14,438,812","12,414,292","12,301,969","11,485,035","11,175,379","11,565,203","11,353,140","11,427,054","11,123,183","10,975,924","11,338,146","10,627,147","10,629,928","10,732,882","10,175,214","10,283,822","9,965,322","9,939,771","9,587,523","9,630,966","9,100,847","9,775,564","8,882,800","9,438,785","8,606,324","8,840,521","8,514,329","7,889,095","7,650,149","7,452,600","7,061,498","6,956,069","6,678,565","7,025,037","6,982,604","6,859,408","6,465,502","6,322,800","6,420,740","5,850,902","5,793,636","5,244,363","5,515,525","5,638,676","5,446,771","5,311,916","4,829,476","4,818,976","4,999,443","4,900,600","4,867,316","4,569,087","4,666,375","4,403,312","4,176,868","4,137,314","4,087,843","3,726,549","3,449,290","3,170,214","3,193,354","3,323,929","2,934,853","2,951,741","2,781,682","2,866,376","2,801,543","2,448,300","2,708,214","2,280,092","2,254,067","2,119,275","2,108,327","2,073,894","2,076,217","1,874,304","1,927,174","1,569,440","1,308,966","1,389,841","1,267,975","1,321,977","1,265,303","1,189,262","1,136,274","958,923","883,490","832,322","779,007","754,396","652,856","631,633","607,950","622,227","575,987","543,764","515,704","484,630","428,960","383,071","385,635","352,721","292,675","286,640","277,673","270,650","211,032","196,128","181,890","165,770","159,336","115,842","112,640","111,449","110,210","105,846","103,199","96,762","96,282","84,073","77,008","71,626","64,172","63,918","58,412","56,889","56,023","55,461","52,438","48,497","40,895","38,682","37,264","37,667","37,918","33,784","33,715","29,795","17,911","11,505",#REF!
2019,"1,407,745,000","1,366,417,756","328,329,953","270,625,567","216,565,317","211,049,519","200,963,603","163,046,173","144,406,261","127,575,529","126,633,000","112,078,727","108,116,622","100,388,076","96,462,108","86,790,568","83,429,607","82,913,893","83,092,962","69,625,581","67,248,926","66,836,327","58,005,461","58,558,267","59,729,081","52,573,967","54,045,422","51,764,822","50,339,443","47,134,837","44,269,587","44,938,712","42,813,237","43,053,054","44,386,203","39,309,789","38,041,757","37,601,230","37,965,475","36,471,766","34,268,529","33,580,350","31,825,299","32,510,462","31,949,789","30,366,043","30,417,858","29,161,922","28,608,715","28,515,829","26,969,306","25,876,387","25,716,554","25,666,158","25,365,745","23,310,719","21,803,000","20,321,383","19,658,023","18,628,749","18,952,035","19,371,648","18,513,673","17,861,034","17,070,132","17,373,657","17,344,874","16,296,362","16,604,026","16,486,542","15,946,882","15,442,906","14,645,473","12,771,246","12,626,938","11,801,151","11,530,577","11,694,721","11,513,102","11,488,980","11,263,079","11,062,114","11,333,484","10,738,957","10,671,870","10,721,582","10,278,887","10,286,263","10,101,697","10,024,283","9,746,115","9,770,526","9,321,023","9,771,141","9,054,000","9,419,758","8,776,119","8,879,920","8,575,280","8,082,359","7,813,207","7,507,900","7,169,456","7,044,639","6,777,453","6,975,761","6,945,235","6,855,709","6,545,503","6,456,200","6,453,550","5,942,094","5,814,422","5,380,504","5,521,606","5,703,569","5,454,147","5,347,896","4,974,992","4,937,374","5,047,561","4,979,200","4,934,340","4,685,306","4,745,179","4,525,698","4,246,440","4,207,077","4,065,253","3,720,161","3,461,731","3,225,166","3,193,694","3,300,998","2,948,277","2,957,728","2,832,071","2,854,191","2,794,137","2,494,524","2,664,974","2,347,696","2,303,703","2,172,578","2,125,267","2,088,385","2,076,694","1,920,917","1,913,822","1,641,164","1,355,982","1,394,969","1,293,120","1,326,855","1,265,711","1,198,574","1,148,133","973,557","889,955","850,891","782,775","763,094","669,821","640,446","620,001","622,028","581,363","549,936","530,957","504,062","433,296","390,351","389,486","360,563","299,882","287,021","279,285","271,300","215,048","197,093","182,795","167,295","157,441","117,608","113,811","112,002","110,593","106,310","104,497","97,625","97,115","84,589","77,146","71,808","64,948","63,911","58,791","57,213","56,225","55,312","52,834","48,677","41,608","38,967","38,002","38,194","38,020","33,864","33,706","30,033","18,001","11,655",#REF!
